"year","state_fips","acs_employment_status_asian_male_16_64_in_labor_force_estimate","acs_employment_status_asian_male_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_asian_male_16_64_in_labor_force_civilian_estimate","acs_employment_status_asian_male_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_asian_male_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_asian_male_16_64_not_in_labor_force_estimate","acs_employment_status_asian_male_65_plus_in_labor_force_estimate","acs_employment_status_asian_male_65_plus_in_labor_force_employed_estimate","acs_employment_status_asian_male_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_asian_male_65_plus_not_in_labor_force_estimate","acs_employment_status_asian_female_16_64_in_labor_force_estimate","acs_employment_status_asian_female_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_asian_female_16_64_in_labor_force_civilian_estimate","acs_employment_status_asian_female_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_asian_female_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_asian_female_16_64_not_in_labor_force_estimate","acs_employment_status_asian_female_65_plus_in_labor_force_estimate","acs_employment_status_asian_female_65_plus_in_labor_force_employed_estimate","acs_employment_status_asian_female_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_asian_female_65_plus_not_in_labor_force_estimate","acs_employment_status_asian_male_16_64_in_labor_force_moe","acs_employment_status_asian_male_16_64_in_labor_force_armed_forces_moe","acs_employment_status_asian_male_16_64_in_labor_force_civilian_moe","acs_employment_status_asian_male_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_asian_male_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_asian_male_16_64_not_in_labor_force_moe","acs_employment_status_asian_male_65_plus_in_labor_force_moe","acs_employment_status_asian_male_65_plus_in_labor_force_employed_moe","acs_employment_status_asian_male_65_plus_in_labor_force_unemployed_moe","acs_employment_status_asian_male_65_plus_not_in_labor_force_moe","acs_employment_status_asian_female_16_64_in_labor_force_moe","acs_employment_status_asian_female_16_64_in_labor_force_armed_forces_moe","acs_employment_status_asian_female_16_64_in_labor_force_civilian_moe","acs_employment_status_asian_female_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_asian_female_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_asian_female_16_64_not_in_labor_force_moe","acs_employment_status_asian_female_65_plus_in_labor_force_moe","acs_employment_status_asian_female_65_plus_in_labor_force_employed_moe","acs_employment_status_asian_female_65_plus_in_labor_force_unemployed_moe","acs_employment_status_asian_female_65_plus_not_in_labor_force_moe"
2021,"12",153029,2402,150627,144398,6229,38027,8304,7735,569,28944,147392,478,146914,140408,6506,73159,7533,7186,347,43186,1882,549,1901,1923,781,1551,736,694,241,969,2330,218,2303,2376,904,2028,696,638,194,850
2021,"13",122771,1040,121731,118122,3609,28777,4999,4820,179,13700,106825,320,106505,101577,4928,57585,3391,3297,94,20322,1805,319,1791,1778,475,1486,638,624,86,684,1854,280,1840,1931,659,1715,516,511,78,746
2021,"15",131174,2858,128316,123566,4750,29604,15024,14767,257,45103,137515,666,136849,132013,4836,38152,15069,14596,473,67358,1756,413,1755,1790,637,1346,897,913,72,886,2185,178,2181,1931,683,1293,881,821,196,907
2021,"16",6285,281,6004,5887,117,1458,257,176,81,649,6412,14,6398,6189,209,3251,169,169,0,1611,499,136,484,505,85,296,88,90,48,161,530,17,530,565,114,347,105,105,30,191
2021,"17",201254,744,200510,192172,8338,42392,11403,10638,765,30510,178672,230,178442,170526,7916,80066,8441,8148,293,43940,1447,277,1429,1573,725,1557,689,670,246,820,2044,139,2090,2132,714,2229,689,680,146,781
2021,"18",45302,72,45230,43919,1311,14348,1844,1780,64,3031,37033,0,37033,35400,1633,21940,1022,990,32,5008,1175,53,1183,1175,317,1013,318,309,67,311,1141,29,1141,1143,352,1100,238,236,31,404
2021,"19",23685,5,23680,22627,1053,6013,675,637,38,1240,19582,59,19523,18751,772,9046,658,658,0,2163,701,10,702,771,275,608,162,163,57,192,775,99,787,749,237,708,220,220,24,222
2021,"20",24673,589,24084,23431,653,6212,763,738,25,2073,22593,74,22519,21526,993,9870,872,869,3,3026,857,165,863,857,206,577,152,150,21,199,773,78,779,786,253,677,196,196,4,258
2021,"21",18523,284,18239,17406,833,4134,762,724,38,1167,15692,29,15663,15207,456,8918,537,537,0,2612,718,90,723,692,253,527,163,154,45,189,687,37,683,671,150,632,176,176,29,323
2021,"22",21498,471,21027,20314,713,6652,859,843,16,2980,18577,46,18531,17640,891,10822,691,585,106,4102,812,150,813,812,270,705,175,173,27,291,839,34,838,777,319,747,184,160,86,334
2021,"23",3376,5,3371,3173,198,1108,110,110,0,371,4741,32,4709,4498,211,1863,245,214,31,792,312,8,312,328,98,215,56,56,26,89,470,35,469,472,85,270,117,114,33,154
2021,"24",107785,1244,106541,101912,4629,21182,7216,6835,381,16154,103057,374,102683,98288,4395,40025,5526,5348,178,24268,1508,286,1532,1477,691,1206,582,548,126,653,1622,242,1605,1551,521,1224,502,476,95,520
