"year","state_fips","acs_occupation_universe_estimate","acs_occupation_male_total_estimate","acs_occupation_male_for_profit_worker_estimate","acs_occupation_male_for_profit_worker_employee_estimate","acs_occupation_male_for_profit_worker_self_employed_estimate","acs_occupation_male_nonprofit_worker_estimate","acs_occupation_male_local_govt_worker_estimate","acs_occupation_male_state_govt_worker_estimate","acs_occupation_male_fed_govt_worker_estimate","acs_occupation_male_self_employed_not_incorporated_estimate","acs_occupation_male_unpaid_family_worker_estimate","acs_occupation_female_total_estimate","acs_occupation_female_for_profit_worker_estimate","acs_occupation_female_for_profit_worker_employee_estimate","acs_occupation_female_for_profit_worker_self_employed_estimate","acs_occupation_female_nonprofit_worker_estimate","acs_occupation_female_local_govt_worker_estimate","acs_occupation_female_state_govt_worker_estimate","acs_occupation_female_fed_govt_worker_estimate","acs_occupation_female_self_employed_not_incorporated_estimate","acs_occupation_female_unpaid_family_worker_estimate","acs_occupation_universe_moe","acs_occupation_male_total_moe","acs_occupation_male_for_profit_worker_moe","acs_occupation_male_for_profit_worker_employee_moe","acs_occupation_male_for_profit_worker_self_employed_moe","acs_occupation_male_nonprofit_worker_moe","acs_occupation_male_local_govt_worker_moe","acs_occupation_male_state_govt_worker_moe","acs_occupation_male_fed_govt_worker_moe","acs_occupation_male_self_employed_not_incorporated_moe","acs_occupation_male_unpaid_family_worker_moe","acs_occupation_female_total_moe","acs_occupation_female_for_profit_worker_moe","acs_occupation_female_for_profit_worker_employee_moe","acs_occupation_female_for_profit_worker_self_employed_moe","acs_occupation_female_nonprofit_worker_moe","acs_occupation_female_local_govt_worker_moe","acs_occupation_female_state_govt_worker_moe","acs_occupation_female_fed_govt_worker_moe","acs_occupation_female_self_employed_not_incorporated_moe","acs_occupation_female_unpaid_family_worker_moe"
2015,"45",2075274,1066845,818635,769905,48730,43719,51624,54181,28958,68212,1516,1008429,689814,670888,18926,82067,70424,100221,22235,42134,1534,7519,4777,4363,4267,1371,1554,1808,1840,1317,1752,318,4756,4720,4670,1093,2141,2057,2201,1123,1617,273
2015,"46",430853,226674,156165,143231,12934,14315,13308,8693,8297,25257,639,204179,123114,118512,4602,33906,18020,10953,7407,10258,521,1972,1351,1580,1611,563,772,649,507,610,802,116,1382,1431,1376,426,985,881,597,485,516,85
2015,"47",2888742,1506658,1120776,1073103,47673,79627,86985,46969,42170,127908,2223,1382084,939713,922182,17531,140932,125882,71273,31811,70076,2397,7662,5255,5145,5416,1436,2081,2199,1365,1345,2338,284,6029,5273,5347,1020,2468,2432,1930,1038,1905,269
2015,"48",12094262,6588855,5115938,4877570,238368,247507,333586,214739,166994,501251,8840,5505407,3798010,3700855,97155,440580,475001,371451,112290,298125,9950,15903,11020,12225,11894,3865,4057,4303,3104,3857,4781,621,10832,12602,12773,2108,5683,5353,5476,2764,4815,791
2015,"49",1337646,747788,576595,535968,40627,42439,34081,34173,26718,32907,875,589858,396061,381768,14293,55263,48564,44230,16370,28148,1222,4011,2683,3081,3179,1406,1349,1505,1187,988,1474,181,3366,2924,2910,713,1350,1308,1286,845,1104,216
2015,"50",326732,166152,112122,102116,10006,15838,8521,7121,4146,17866,538,160580,86811,82184,4627,33291,14855,9150,3863,12402,208,1906,1404,1469,1419,580,703,474,461,324,651,138,1198,1297,1355,350,940,605,571,273,532,45
2015,"51",3990770,2062344,1452233,1363418,88815,110075,114906,70466,198789,113627,2248,1928426,1208673,1168588,40085,199780,201566,96699,133707,85256,2745,9377,5908,6788,6682,1965,2499,2187,1852,3026,2095,315,6049,6479,6552,1186,3413,3259,2016,2613,1930,355
2015,"53",3259877,1742108,1304662,1219750,84912,88946,95303,80347,65811,104364,2675,1517769,962549,922702,39847,173990,115256,127751,43411,91660,3152,8378,5630,6271,5778,1883,2144,2156,2179,1841,2368,369,5029,6105,5943,1419,2943,2152,2347,1502,2018,370
2015,"54",751252,397135,294429,282855,11574,18463,22367,25688,15673,20022,493,354117,224368,219670,4698,36962,32329,33257,13572,13244,385,4164,2770,2978,2872,759,830,818,1066,873,1014,164,2621,2306,2218,477,1288,1121,1079,644,806,123
2015,"55",2883390,1489667,1163261,1099769,63492,78714,78595,53282,19646,93459,2710,1393723,942844,918184,24660,187566,114750,72505,18601,54926,2531,6149,4402,4077,4091,1434,1559,1897,1534,869,1372,295,3882,4079,4174,774,2405,2038,1299,769,1257,237
