"year","state_fips","saipe_5_to_17_in_families_poverty_count","saipe_under_19_poverty_count","saipe_total_poverty_count","saipe_total_poverty_universe","saipe_5_to_17_in_families_poverty_universe","saipe_under_19_poverty_universe","saipe_total_poverty_count_moe","saipe_5_to_17_in_families_poverty_count_moe","saipe_under_19_poverty_count_moe","saipe_total_poverty_rate","saipe_5_to_17_in_families_poverty_rate","saipe_under_19_poverty_rate","saipe_total_poverty_rate_moe","saipe_5_to_17_in_families_poverty_rate_moe","saipe_under_19_poverty_rate_moe","acs_poverty_status_universe_estimate","acs_poverty_status_in_poverty_estimate","acs_poverty_status_not_in_poverty_estimate","acs_poverty_status_white_total_estimate","acs_poverty_status_white_in_poverty_estimate","acs_poverty_status_white_not_in_poverty_estimate","acs_poverty_status_black_total_estimate","acs_poverty_status_black_in_poverty_estimate","acs_poverty_status_black_not_in_poverty_estimate","acs_poverty_status_native_total_estimate","acs_poverty_status_native_in_poverty_estimate","acs_poverty_status_native_not_in_poverty_estimate","acs_poverty_status_asian_total_estimate","acs_poverty_status_asian_in_poverty_estimate","acs_poverty_status_asian_not_in_poverty_estimate","acs_poverty_status_pacific_islander_total_estimate","acs_poverty_status_pacific_islander_in_poverty_estimate","acs_poverty_status_pacific_islander_not_in_poverty_estimate","acs_poverty_status_other_race_total_estimate","acs_poverty_status_other_race_in_poverty_estimate","acs_poverty_status_other_race_not_in_poverty_estimate","acs_poverty_status_multiple_races_total_estimate","acs_poverty_status_multiple_races_in_poverty_estimate","acs_poverty_status_multiple_races_not_in_poverty_estimate","acs_poverty_status_white_not_latine_total_estimate","acs_poverty_status_white_not_latine_in_poverty_estimate","acs_poverty_status_white_not_latine_not_in_poverty_estimate","acs_poverty_status_latine_total_estimate","acs_poverty_status_latine_in_poverty_estimate","acs_poverty_status_latine_not_in_poverty_estimate","acs_poverty_status_universe_moe","acs_poverty_status_in_poverty_moe","acs_poverty_status_not_in_poverty_moe","acs_poverty_status_white_total_moe","acs_poverty_status_white_in_poverty_moe","acs_poverty_status_white_not_in_poverty_moe","acs_poverty_status_black_total_moe","acs_poverty_status_black_in_poverty_moe","acs_poverty_status_black_not_in_poverty_moe","acs_poverty_status_native_total_moe","acs_poverty_status_native_in_poverty_moe","acs_poverty_status_native_not_in_poverty_moe","acs_poverty_status_asian_total_moe","acs_poverty_status_asian_in_poverty_moe","acs_poverty_status_asian_not_in_poverty_moe","acs_poverty_status_pacific_islander_total_moe","acs_poverty_status_pacific_islander_in_poverty_moe","acs_poverty_status_pacific_islander_not_in_poverty_moe","acs_poverty_status_other_race_total_moe","acs_poverty_status_other_race_in_poverty_moe","acs_poverty_status_other_race_not_in_poverty_moe","acs_poverty_status_multiple_races_total_moe","acs_poverty_status_multiple_races_in_poverty_moe","acs_poverty_status_multiple_races_not_in_poverty_moe","acs_poverty_status_white_not_latine_total_moe","acs_poverty_status_white_not_latine_in_poverty_moe","acs_poverty_status_white_not_latine_not_in_poverty_moe","acs_poverty_status_latine_total_moe","acs_poverty_status_latine_in_poverty_moe","acs_poverty_status_latine_not_in_poverty_moe"
2016,"26",297400,444101,1449684,9702328,1575821,2149838,22841.268,8520.10886,10922.72361,14.94,18.87,20.66,0.23542,0.54068,0.50807,9683865,1575066,8108799,7667164,981438,6685726,1322759,437526,885233,51105,12467,38638,269129,41181,227948,2257,490,1767,109242,30321,78921,262209,71643,190566,7359505,906945,6452560,462877,119636,343241,1916,14587,15029,4114,10799,11569,4223,6902,6782,1276,978,1019,2196,2061,2747,374,160,330,3455,2338,2985,4532,2984,4105,2139,10463,10981,674,3361,3387
2016,"27",106426,158756,531796,5396366,914749,1266145,12045.87942,4217.48029,5568.2385,9.85,11.63,12.54,0.22322,0.46105,0.43978,5327019,577196,4749823,4501718,371142,4130576,299218,101864,197354,53093,16697,36396,241701,38971,202730,1834,329,1505,86459,20514,65945,142996,27679,115317,4340375,337772,4002603,268765,59699,209066,860,7933,7948,3641,5251,6558,2771,3557,3217,1214,803,1024,1599,1994,2453,274,127,218,3317,2103,2640,3804,1656,3509,1317,4938,5191,528,2603,2511
2016,"28",151716,214013,606871,2892927,520959,709489,13583.47139,4555.08145,6068.96721,20.98,29.12,30.16,0.46954,0.87436,0.8554,2893091,645553,2247538,1716592,242180,1474412,1078350,377645,700705,12571,3833,8738,27704,3866,23838,450,92,358,23091,7968,15123,34333,9969,24364,1665975,227413,1438562,79641,24294,55347,796,8803,8878,2017,5620,5686,2186,6028,5931,704,580,775,1040,472,1040,194,55,172,1496,1156,1452,1969,1071,1746,1133,5118,5245,702,1863,1838
2016,"29",171750,260861,826359,5911099,983222,1358480,17787.17001,6245.37581,8182.92582,13.98,17.47,19.2,0.30091,0.63519,0.60236,5876366,897755,4978611,4864105,628648,4235457,668240,189191,479049,24429,5775,18654,104467,17468,86999,6113,1394,4719,66891,21471,45420,142121,33808,108313,4718267,592888,4125379,230255,61543,168712,1479,11360,11667,3234,8618,9251,2993,4878,4448,1081,741,1031,1504,1242,1890,553,365,581,2893,1936,2360,3749,1719,3572,2000,8328,8846,632,2598,2671
2016,"30",24064,36016,136437,1018117,160763,223105,5395.64454,1533.17383,2102.77792,13.4,14.97,16.14,0.52996,0.95369,0.94251,998314,148677,849637,891577,117527,774050,3867,904,2963,64276,22746,41530,7177,1153,6024,783,70,713,5014,924,4090,25620,5353,20267,869093,112456,756637,33583,7558,26025,595,3742,3876,1154,3543,3585,343,244,368,1125,1013,1162,486,286,490,285,53,275,680,213,674,1134,630,1100,555,3358,3453,227,837,858
2016,"31",41851,64334,208863,1851082,331435,463151,6787.9242,2518.54164,3454.03749,11.28,12.63,13.89,0.3667,0.75989,0.74577,1827191,227021,1600170,1611112,171978,1439134,83799,25328,58471,15033,5640,9393,38259,7396,30863,1188,166,1022,35914,7825,28089,41886,8688,33198,1470399,137047,1333352,187018,45913,141105,669,4403,4350,2185,3998,3896,1325,1593,1575,838,622,639,799,918,1090,337,107,337,2198,1509,1710,1549,832,1509,846,3027,3055,404,2594,2561
2016,"32",88913,132009,407308,2896892,481375,665032,14272.03258,5471.67936,7187.56767,14.06,18.47,19.85,0.49267,1.13668,1.08079,2798543,417257,2381286,1909836,247262,1662574,234924,59191,175733,30924,7903,23021,221371,21020,200351,17933,4023,13910,256892,57303,199589,126663,20555,106108,1437387,151050,1286337,780665,164476,616189,880,8103,8088,5805,6360,7153,2253,2912,3135,1202,692,1169,1760,1471,1926,561,714,815,6018,3470,5929,3801,1684,3687,996,4023,4080,538,5585,5499
2016,"33",14329,21897,97753,1292242,191703,256205,6171.43233,1546.46015,2088.64837,7.56,7.47,8.55,0.47758,0.8067,0.81523,1285437,109690,1175747,1207154,98929,1108225,15690,2514,13176,2011,306,1705,30634,3281,27353,210,37,173,6728,1048,5680,23010,3575,19435,1176179,93035,1083144,41482,7943,33539,565,3972,3962,1272,3847,3763,939,548,985,306,132,317,812,540,855,89,30,84,848,289,798,1235,559,1130,810,3640,3634,270,935,888
2016,"34",197218,283761,915393,8769467,1444935,1963384,24785.47288,7954.89158,10743.21656,10.44,13.65,14.45,0.28263,0.55054,0.54718,8739058,949341,7789717,5973871,497446,5476425,1157122,228101,929021,18080,4046,14034,806233,53829,752404,2622,702,1920,559688,129417,430271,221442,35800,185642,4969010,316337,4652673,1693172,341367,1351805,1115,12528,12554,9897,7998,12246,4938,6227,7422,1343,847,1167,2206,2652,3185,442,270,364,10717,4672,9361,5534,2497,4983,2516,6649,6857,1111,6273,6276
2016,"35",93042,134543,390458,2039433,355509,483659,12776.63508,4278.05575,5708.70809,19.15,26.17,27.82,0.62648,1.20336,1.18032,2042014,426814,1615200,1503905,272715,1231190,39027,10158,28869,189511,65295,124216,28462,3165,25297,1225,230,995,213292,61556,151736,66592,13695,52897,793203,98494,694709,975215,248241,726974,680,7535,7332,6467,5882,7345,1302,1118,1332,1966,2134,2981,1207,508,1197,260,146,213,6298,4032,5447,3097,1276,2768,894,2869,3026,690,5950,5933
