"year","state_fips","stalt_unemployed_15_plus_weeks","stalt_job_losers","stalt_discouraged_workers","stalt_all_marginally_attached","stalt_involuntary_part_time_employed","stalt_civilian_labor_force","stalt_employed","stalt_unemployed","stalt_u1","stalt_u2","stalt_u3","stalt_u4","stalt_u5","stalt_u6"
2014,"22",61900,61100,12000,32500,77400,2159000,2021300,137700,2.9,2.8,6.4,6.9,7.8,11.3
2014,"23",17000,21800,3500,10300,33900,695200,655600,39700,2.4,3.1,5.7,6.2,7.1,11.9
2014,"24",100400,83000,14300,45300,111900,3094700,2915400,179300,3.2,2.7,5.8,6.2,7.2,10.7
2014,"25",101800,110000,13500,46600,164300,3554000,3349200,204800,2.9,3.1,5.8,6.1,7,11.5
2014,"26",166200,175500,20800,69500,257000,4750800,4407500,343300,3.5,3.7,7.2,7.6,8.6,13.9
2014,"27",50000,65300,9500,32100,109600,2974100,2855100,118900,1.7,2.2,4,4.3,5,8.7
2014,"28",50500,43300,9800,23500,52700,1230800,1136500,94400,4.1,3.5,7.7,8.4,9.4,13.6
2014,"29",86900,109500,13300,38900,131400,3051200,2857200,194000,2.8,3.6,6.4,6.8,7.5,11.8
2014,"30",7900,13900,1300,5800,24500,524100,499900,24300,1.5,2.6,4.6,4.9,5.7,10.3
2014,"31",10900,16200,2500,9000,29300,1017600,984100,33500,1.1,1.6,3.3,3.5,4.1,7
2014,"32",58000,55900,9500,25100,84100,1384500,1277300,107200,4.2,4,7.7,8.4,9.4,15.3
2014,"33",14300,17400,1800,7300,33700,736900,705800,31100,1.9,2.4,4.2,4.5,5.2,9.7
2014,"34",174100,187700,20300,65800,202000,4524800,4222700,302200,3.8,4.1,6.7,7.1,8,12.4
2014,"35",36400,23700,5200,20900,38000,915500,851100,64400,4,2.6,7,7.6,9.1,13.2
2014,"36",348200,340400,59600,157800,439900,9554700,8946300,608400,3.6,3.6,6.4,6.9,7.9,12.4
2014,"37",147800,129100,29800,71200,210500,4640900,4353900,287000,3.2,2.8,6.2,6.8,7.6,12.1
2014,"38",3200,5700,600,3100,8100,421400,409500,11900,0.8,1.3,2.8,3,3.5,5.4
2014,"39",151400,149200,25600,74900,237700,5715700,5397600,318100,2.6,2.6,5.6,6,6.8,10.9
2014,"40",29300,35000,9600,25700,48000,1773100,1692700,80400,1.6,2,4.5,5,5.9,8.6
2014,"41",61400,71500,7000,25900,115100,1938600,1801100,137500,3.2,3.7,7.1,7.4,8.3,14.2
