"year","state_fips","acs_employment_status_black_male_16_64_in_labor_force_estimate","acs_employment_status_black_male_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_black_male_16_64_in_labor_force_civilian_estimate","acs_employment_status_black_male_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_black_male_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_black_male_16_64_not_in_labor_force_estimate","acs_employment_status_black_male_65_plus_in_labor_force_estimate","acs_employment_status_black_male_65_plus_in_labor_force_employed_estimate","acs_employment_status_black_male_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_black_male_65_plus_not_in_labor_force_estimate","acs_employment_status_black_female_16_64_in_labor_force_estimate","acs_employment_status_black_female_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_black_female_16_64_in_labor_force_civilian_estimate","acs_employment_status_black_female_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_black_female_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_black_female_16_64_not_in_labor_force_estimate","acs_employment_status_black_female_65_plus_in_labor_force_estimate","acs_employment_status_black_female_65_plus_in_labor_force_employed_estimate","acs_employment_status_black_female_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_black_female_65_plus_not_in_labor_force_estimate","acs_employment_status_black_male_16_64_in_labor_force_moe","acs_employment_status_black_male_16_64_in_labor_force_armed_forces_moe","acs_employment_status_black_male_16_64_in_labor_force_civilian_moe","acs_employment_status_black_male_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_black_male_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_black_male_16_64_not_in_labor_force_moe","acs_employment_status_black_male_65_plus_in_labor_force_moe","acs_employment_status_black_male_65_plus_in_labor_force_employed_moe","acs_employment_status_black_male_65_plus_in_labor_force_unemployed_moe","acs_employment_status_black_male_65_plus_not_in_labor_force_moe","acs_employment_status_black_female_16_64_in_labor_force_moe","acs_employment_status_black_female_16_64_in_labor_force_armed_forces_moe","acs_employment_status_black_female_16_64_in_labor_force_civilian_moe","acs_employment_status_black_female_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_black_female_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_black_female_16_64_not_in_labor_force_moe","acs_employment_status_black_female_65_plus_in_labor_force_moe","acs_employment_status_black_female_65_plus_in_labor_force_employed_moe","acs_employment_status_black_female_65_plus_in_labor_force_unemployed_moe","acs_employment_status_black_female_65_plus_not_in_labor_force_moe"
2014,"29",146180,1914,144266,115041,29225,71938,3949,3723,226,21370,175015,522,174493,147757,26736,68251,5990,5480,510,34362,1656,357,1716,1784,1087,1666,338,329,93,386,1960,217,1930,2169,1254,1671,397,401,109,491
2014,"30",1888,194,1694,1589,105,579,19,19,0,36,516,74,442,388,54,249,22,22,0,23,279,102,290,268,69,185,22,22,23,28,134,64,132,126,31,98,32,32,23,21
2014,"31",20532,155,20377,17264,3113,8338,526,471,55,1933,20016,70,19946,17135,2811,6775,616,598,18,2841,604,82,627,619,421,667,98,97,35,130,609,63,596,605,373,460,127,128,20,148
2014,"32",55005,758,54247,43628,10619,23179,1934,1647,287,7901,53581,153,53428,44345,9083,22529,1852,1599,253,10075,1237,213,1276,1291,933,1060,233,229,116,264,1058,79,1065,1198,838,1033,252,232,106,318
2014,"33",4970,0,4970,4584,386,1719,148,148,0,277,3437,23,3414,3072,342,1321,133,133,0,273,385,26,385,369,175,401,63,63,26,97,311,35,313,296,120,286,68,68,26,83
2014,"34",267863,770,267093,219106,47987,115087,10980,9737,1243,36443,317600,208,317392,268327,49065,111551,12192,11215,977,64293,2296,212,2309,2543,1691,2199,620,533,232,639,2410,93,2417,2599,1450,1781,676,673,197,796
2014,"35",11500,575,10925,9813,1112,5221,294,283,11,1681,7975,179,7796,6621,1175,3857,350,315,35,1707,614,169,642,637,278,489,110,111,13,202,561,82,562,533,352,473,108,99,44,203
2014,"36",648862,1961,646901,538779,108122,314051,24628,22543,2085,100621,778604,453,778151,677689,100462,332202,29018,26724,2294,185381,3876,277,3850,3591,2582,3794,970,953,315,1143,3963,125,3963,4224,2284,3596,1040,958,322,1076
2014,"37",445209,10165,435044,351711,83333,208713,14553,13414,1139,68994,540964,2203,538761,455877,82884,210104,16858,15563,1295,112559,2999,847,3074,3536,2348,2897,693,671,229,792,2987,405,3076,3314,2193,2401,692,676,197,679
2014,"38",3846,330,3516,3190,326,1045,6,4,2,100,1977,116,1861,1770,91,705,0,0,0,71,342,139,345,364,128,224,7,7,3,21,224,81,215,194,77,192,20,20,20,39
2014,"39",289838,582,289256,224815,64441,150726,9399,8564,835,47854,338119,180,337939,283140,54799,143033,10948,10073,875,77347,2542,190,2554,2298,1799,2323,506,494,179,549,2126,90,2116,2432,1718,2234,600,575,165,729
