"year","state_fips","acs_employment_status_white_not_latine_male_16_64_in_labor_force_estimate","acs_employment_status_white_not_latine_male_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_white_not_latine_male_16_64_in_labor_force_civilian_estimate","acs_employment_status_white_not_latine_male_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_white_not_latine_male_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_white_not_latine_male_16_64_not_in_labor_force_estimate","acs_employment_status_white_not_latine_male_65_plus_in_labor_force_estimate","acs_employment_status_white_not_latine_male_65_plus_in_labor_force_employed_estimate","acs_employment_status_white_not_latine_male_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_white_not_latine_male_65_plus_not_in_labor_force_estimate","acs_employment_status_white_not_latine_female_16_64_in_labor_force_estimate","acs_employment_status_white_not_latine_female_16_64_in_labor_force_armed_forces_estimate","acs_employment_status_white_not_latine_female_16_64_in_labor_force_civilian_estimate","acs_employment_status_white_not_latine_female_16_64_in_labor_force_civilian_employed_estimate","acs_employment_status_white_not_latine_female_16_64_in_labor_force_civilian_unemployed_estimate","acs_employment_status_white_not_latine_female_16_64_not_in_labor_force_estimate","acs_employment_status_white_not_latine_female_65_plus_in_labor_force_estimate","acs_employment_status_white_not_latine_female_65_plus_in_labor_force_employed_estimate","acs_employment_status_white_not_latine_female_65_plus_in_labor_force_unemployed_estimate","acs_employment_status_white_not_latine_female_65_plus_not_in_labor_force_estimate","acs_employment_status_white_not_latine_male_16_64_in_labor_force_moe","acs_employment_status_white_not_latine_male_16_64_in_labor_force_armed_forces_moe","acs_employment_status_white_not_latine_male_16_64_in_labor_force_civilian_moe","acs_employment_status_white_not_latine_male_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_white_not_latine_male_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_white_not_latine_male_16_64_not_in_labor_force_moe","acs_employment_status_white_not_latine_male_65_plus_in_labor_force_moe","acs_employment_status_white_not_latine_male_65_plus_in_labor_force_employed_moe","acs_employment_status_white_not_latine_male_65_plus_in_labor_force_unemployed_moe","acs_employment_status_white_not_latine_male_65_plus_not_in_labor_force_moe","acs_employment_status_white_not_latine_female_16_64_in_labor_force_moe","acs_employment_status_white_not_latine_female_16_64_in_labor_force_armed_forces_moe","acs_employment_status_white_not_latine_female_16_64_in_labor_force_civilian_moe","acs_employment_status_white_not_latine_female_16_64_in_labor_force_civilian_employed_moe","acs_employment_status_white_not_latine_female_16_64_in_labor_force_civilian_unemployed_moe","acs_employment_status_white_not_latine_female_16_64_not_in_labor_force_moe","acs_employment_status_white_not_latine_female_65_plus_in_labor_force_moe","acs_employment_status_white_not_latine_female_65_plus_in_labor_force_employed_moe","acs_employment_status_white_not_latine_female_65_plus_in_labor_force_unemployed_moe","acs_employment_status_white_not_latine_female_65_plus_not_in_labor_force_moe"
2016,"24",846599,15374,831225,785909,45316,171992,67713,65620,2093,179086,772611,3459,769152,731776,37376,257623,53834,52043,1791,259229,2599,749,2629,2585,1290,2432,1343,1333,221,1350,3010,390,3025,3208,1147,3017,1362,1346,264,1361
2016,"25",1339382,3086,1336296,1247899,88397,287226,103828,98823,5005,278957,1294393,293,1294100,1227601,66499,383211,88803,85065,3738,421612,3553,432,3581,3795,2176,3351,1482,1439,425,1475,4099,108,4085,4480,1802,3952,1384,1317,334,1398
2016,"26",1912362,2342,1910020,1769113,140907,531938,100809,96055,4754,482710,1706684,439,1706245,1598149,108096,724793,80429,77209,3220,646480,4058,309,4072,4766,2495,3934,1374,1349,330,1379,3837,130,3845,4301,1981,3926,1238,1234,303,1239
2016,"27",1243821,1626,1242195,1185334,56861,212556,71297,68997,2300,257771,1157678,279,1157399,1117237,40162,280656,58861,57477,1384,348462,2431,248,2461,2770,1388,2346,1045,1019,207,1047,2524,91,2507,2792,1326,2535,1050,1044,222,1045
2016,"28",409177,5942,403235,376645,26590,130003,28542,27666,876,108497,342940,972,341968,318525,23443,197141,21237,20641,596,152771,2359,542,2465,2582,1260,2463,911,936,201,906,2573,189,2543,2630,1084,2632,688,710,135,691
2016,"29",1233924,11321,1222603,1147955,74648,321265,74272,71844,2428,292353,1119275,1643,1117632,1058619,59013,441441,63564,61690,1874,400245,3138,745,3059,3592,2027,3339,1274,1311,256,1275,4356,411,4284,4190,1746,4469,1264,1276,257,1283
2016,"30",232489,2375,230114,217130,12984,56540,17665,17117,548,59711,204265,341,203924,194806,9118,75250,12865,12556,309,72085,1285,275,1240,1482,812,1320,623,616,122,622,1455,118,1456,1421,727,1496,593,582,106,594
2016,"31",415904,3321,412583,397414,15169,68944,30599,30039,560,81787,380457,490,379967,367639,12328,100035,24495,24173,322,117252,1507,328,1565,1582,786,1515,750,735,119,748,1706,130,1733,1823,743,1730,711,713,107,711
2016,"32",385450,4495,380955,346852,34103,100746,27977,25439,2538,115354,321766,632,321134,295763,25371,136490,22514,21168,1346,128821,1701,444,1756,2269,1505,1756,1069,1084,276,1082,2251,150,2241,2361,1026,2192,819,781,255,817
2016,"33",335802,1355,334447,316032,18415,66970,23797,22767,1030,68553,310305,62,310243,296533,13710,94029,19112,18606,506,92549,1636,240,1628,1958,928,1604,795,786,179,791,1732,55,1735,1849,770,1710,668,676,118,671
2016,"34",1323625,4463,1319162,1228102,91060,288889,109297,102550,6747,307286,1191972,657,1191315,1116748,74567,432242,90672,85096,5576,465081,3219,409,3248,3418,2077,3313,1673,1698,436,1674,3688,177,3659,3542,1959,3692,1527,1485,543,1546
2016,"35",196288,5088,191200,178701,12499,57755,18501,17611,890,69397,168543,729,167814,158042,9772,83854,16111,15319,792,85662,1551,497,1585,1570,865,1466,635,652,186,651,1754,174,1788,1708,788,1813,682,651,216,700
2016,"36",2883413,13609,2869804,2685936,183868,729938,212198,201625,10573,675565,2641699,1395,2640304,2500674,139630,994397,176454,168701,7753,984028,5918,732,5917,6222,3020,5669,1956,1931,541,2023,6582,254,6540,7076,2443,6464,2138,2111,546,2154
2016,"37",1619484,50737,1568747,1460503,108244,420609,105534,101370,4164,406769,1443575,3766,1439809,1344321,95488,640732,81900,78669,3231,567035,4397,1423,4224,4733,2675,4507,1351,1374,377,1353,4764,413,4791,4859,1988,4834,1581,1587,353,1574
2016,"38",187532,4096,183436,178736,4700,30971,12148,11835,313,33190,157275,472,156803,153360,3443,40971,9267,9177,90,46474,904,461,989,1047,486,857,388,387,103,388,1011,142,1030,1113,377,994,432,432,46,431
2016,"39",2381037,5372,2375665,2221509,154156,603592,142846,137916,4930,550399,2158305,820,2157485,2036789,120696,845519,118915,115086,3829,777281,4555,473,4613,5593,2604,4496,1825,1810,432,1832,5345,162,5363,5976,2391,5293,1892,1896,346,1918
2016,"40",651013,10064,640949,607208,33741,179622,47045,45686,1359,163006,556186,1758,554428,525844,28584,274903,37920,36982,938,224539,2483,614,2341,2254,1040,2459,1015,1029,189,1032,2325,263,2281,2192,1014,2351,919,889,170,928
2016,"41",769074,1699,767375,703871,63504,223321,47839,45556,2283,216315,703652,246,703406,652856,50550,298967,39145,37522,1623,277658,2769,255,2786,3382,1967,2924,1115,1087,297,1132,3433,125,3452,3484,1637,3524,1211,1145,281,1203
2016,"42",2578933,3372,2575561,2408904,166657,624355,179246,171303,7943,642945,2334162,491,2333671,2209304,124367,876097,147846,142466,5380,929449,5294,361,5332,5875,2602,5036,2035,2058,416,2057,4883,137,4880,5547,2127,4883,2144,2141,397,2134
2016,"44",206263,2153,204110,189409,14701,48854,15474,14530,944,48018,199724,218,199506,187049,12457,64413,12927,12350,577,73364,1180,258,1212,1429,911,1154,592,589,169,614,1712,97,1702,1677,693,1696,657,628,156,670
2016,"45",763656,15647,748009,698724,49285,211946,54299,52460,1839,211843,676324,2254,674070,629718,44352,321794,40259,38810,1449,281450,2804,935,2996,3589,1783,2953,1076,1069,242,1071,3774,298,3738,3882,1462,3897,1253,1233,256,1244
2016,"46",194265,1820,192445,186822,5623,33045,15902,15672,230,39759,175125,285,174840,170583,4257,44118,11205,11057,148,55851,1010,289,1084,1182,467,1018,597,594,83,598,1301,94,1313,1312,388,1303,533,522,67,534
2016,"47",1200084,10969,1189115,1110253,78862,357817,77051,74064,2987,301715,1068020,955,1067065,996848,70217,529771,61338,58993,2345,413474,3673,656,3643,4019,1982,3657,1607,1614,328,1639,4217,221,4212,4427,1778,4481,1408,1386,290,1421
2016,"48",3103464,46632,3056832,2901579,155253,733024,231204,223011,8193,676341,2606288,5959,2600329,2464069,136260,1197444,170048,164444,5604,939753,5786,1384,5607,6135,2752,5739,2751,2697,514,2726,6923,492,6959,6888,2793,6986,2239,2262,518,2349
2016,"49",621994,2752,619242,589980,29262,114696,29868,29149,719,94989,495173,333,494840,471388,23452,232254,19548,19135,413,125488,2112,344,2147,2284,1226,2343,885,849,124,881,2693,115,2709,2794,1026,2719,715,722,121,719
2016,"50",154010,335,153675,145336,8339,38419,12784,12392,392,34094,148136,45,148091,141435,6656,45895,10232,10048,184,46168,1056,101,1048,1135,470,1041,524,532,80,524,908,34,909,949,433,898,395,391,85,393
2016,"51",1406855,61667,1345188,1274798,70390,323249,96493,93541,2952,299930,1232163,10651,1221512,1164789,56723,491243,74271,72544,1727,415225,3414,1630,3723,3777,1547,3422,1368,1307,291,1371,4270,709,4312,4283,1673,4234,1485,1441,252,1482
2016,"53",1330925,27877,1303048,1213419,89629,332972,78421,75266,3155,314119,1146119,3403,1142716,1075271,67445,486372,61691,59232,2459,405518,3740,1111,3788,4075,2114,3679,1511,1516,317,1503,3238,384,3237,3631,1768,3243,1466,1394,313,1478
2016,"54",382319,613,381706,348635,33071,160949,21199,20460,739,120002,333872,122,333750,312337,21413,213576,19367,18742,625,153756,2052,155,2032,2137,1321,2057,811,773,168,801,2664,101,2672,2769,997,2688,897,869,188,923
2016,"55",1296708,1722,1294986,1227376,67610,259218,71547,69299,2248,296589,1195365,318,1195047,1146158,48889,335459,59963,58266,1697,393595,2525,255,2528,2567,1495,2520,1013,1012,230,1029,3146,110,3152,3149,1318,3110,1099,1112,197,1098
2016,"56",137371,1390,135981,129387,6594,28348,9030,8751,279,26473,114534,344,114190,109397,4793,40897,6461,6279,182,32973,1025,217,1028,1146,622,1055,473,461,85,471,1173,112,1183,1311,506,1235,431,428,93,432
2017,"01",767253,8122,759131,714698,44433,243833,52174,50447,1727,211459,644658,778,643880,604779,39101,378507,38447,37268,1179,296264,3769,608,3778,3712,1657,3968,1175,1146,261,1182,3693,182,3670,3915,1451,3857,988,946,223,1024
2017,"02",142833,10184,132649,124900,7749,27061,8428,7900,528,20243,107585,1180,106405,100873,5532,37829,5823,5603,220,21094,862,504,1009,1055,646,858,464,468,171,468,1080,225,1092,1049,489,1057,461,450,98,454
2017,"04",902484,9371,893113,835928,57185,260964,70594,67265,3329,346518,794250,1366,792884,749566,43318,364324,57796,55222,2574,420104,3399,688,3361,3257,1750,3566,1489,1414,384,1501,3192,239,3205,3227,1463,3039,1477,1444,349,1456
2017,"05",509412,2733,506679,477242,29437,169792,35959,34830,1129,148432,444580,386,444194,421651,22543,239711,28270,27664,606,200444,2210,359,2176,2271,1118,2284,1164,1134,191,1161,2523,129,2509,2527,1158,2708,888,897,153,893
2017,"06",3909264,66364,3842900,3579497,263403,1034843,328153,312261,15892,1036163,3290477,8582,3281895,3079645,202250,1437703,251316,240484,10832,1403020,7221,1772,7340,7415,3484,6866,3405,3368,846,3488,6504,1102,6446,6786,2983,6674,2486,2538,599,2493
2017,"08",1065261,19862,1045399,992992,52407,209397,69694,67115,2579,201205,924086,2853,921233,880750,40483,311686,53303,51630,1673,268137,2692,842,2721,2998,1454,2607,1234,1186,304,1235,2681,360,2650,2964,1406,2853,1245,1245,255,1229
2017,"09",651557,5650,645907,605491,40416,134751,57709,55058,2651,155265,606183,549,605634,573453,32181,189766,47621,45609,2012,229704,2062,458,2124,2377,1413,1992,1039,939,370,1038,2597,153,2606,2679,1034,2681,1093,1055,244,1091
2017,"10",145434,1820,143614,134547,9067,38460,12580,12043,537,45615,139845,299,139546,131855,7691,51640,9825,9461,364,61288,1082,259,1083,1203,585,1073,520,493,133,530,1383,116,1375,1510,663,1349,481,477,125,476
2017,"11",85234,1910,83324,80994,2330,11512,5015,4843,172,7763,80396,341,80055,77775,2280,15180,4170,4095,75,9835,734,185,733,783,349,727,317,327,85,316,693,130,723,724,285,688,299,301,51,298
