"year","fips","acs_median_rent_estimate","acs_median_rent_percent_household_income_estimate","acs_median_rent_moe","acs_median_rent_percent_household_income_moe"
2009,"26061",525,36.2,17,3.2
2009,"54035",529,26.8,27,3
2009,"54077",452,24.7,45,4.2
2009,"45025",513,27,23,3.4
2009,"26011",511,31.5,41,2.2
2009,"47143",533,32.7,39,5.5
2009,"29017",528,30.2,29,4.6
2009,"53047",540,29.2,22,2.3
2009,"08047",957,45.3,87,11.1
2009,"01003",788,29.6,17,1.5
2009,"48141",592,31,7,0.7
2009,"48187",765,28,31,1.6
2009,"39135",659,26.1,25,2
2009,"17001",533,27.1,21,1.1
2009,"17019",721,37.5,16,1.8
2009,"13177",719,19.7,32,2.7
2009,"20161",721,35.8,25,2.7
2009,"01117",807,25.8,19,1.5
2009,"06017",1062,31.7,37,1.7
2009,"39093",654,29.8,17,1.1
2009,"34017",1033,28.6,12,0.4
2009,"48393",680,15.5,38,3
2009,"06003",820,31,164,17.3
2009,"39109",650,26.9,16,1.7
2009,"25009",971,31.3,10,0.6
2009,"05105",603,23.6,54,4.5
2009,"05079",459,31.6,47,3.4
2009,"48405",415,30.3,22,9.1
2009,"27141",786,31.3,19,2.8
2009,"13101",550,27.9,389,16.5
2009,"54105",420,35.7,23,8.7
2009,"28001",533,31.7,25,3.7
2009,"55101",705,29.5,15,1.2
2009,"08009",414,17.9,39,8.4
2009,"27163",962,29.9,28,1.3
2009,"29181",470,29.1,53,5.5
2009,"22059",443,27.1,71,2.1
2009,"39131",602,34,30,2.6
2009,"13319",480,20.7,42,6.3
2009,"13017",576,29.9,29,3.6
2009,"11001",971,29.1,11,0.4
2009,"39137",580,24.3,56,2.5
2009,"48307",446,24.9,152,4.1
2009,"35017",528,24,28,2.6
2009,"12121",617,27.9,65,3.4
2009,"20157",422,18,58,2.1
2009,"46021",424,21.6,13,1.5
2009,"27001",497,30.3,124,1.9
2009,"56013",556,22.7,46,1.5
2009,"17095",528,28.4,34,1.6
2009,"40083",568,26.5,49,3.3
2009,"26165",585,28.7,58,1.7
2009,"17149",471,24.7,20,3.4
2009,"48421",570,31.6,46,6.2
2009,"08087",671,24.2,23,3.2
2009,"36123",547,29.6,38,3.1
2009,"47055",521,34.3,26,4.3
2009,"24001",508,27.2,23,1.5
2009,"26075",669,32.1,20,1.6
2009,"23023",761,29,39,2.5
2009,"51157",897,25.5,263,6.3
2009,"21239",735,25.5,46,4.1
2009,"32013",603,21.8,67,4.4
2009,"27113",485,26,50,3.5
2009,"17171",446,19,54,2
2009,"55007",537,24.7,21,4
2009,"18139",562,25.9,42,3.4
2009,"01055",560,27.8,18,1.5
2009,"38007",453,8.1,46,5.1
2009,"13137",566,26.7,42,2.6
2009,"31163",443,26,111,4.6
2009,"47063",554,26.4,28,2.1
2009,"48049",567,31.1,29,4
2009,"29227",253,13.9,46,3.3
2009,"21003",473,27.2,42,3
2009,"42027",758,35.9,16,1.8
2009,"36069",697,29.9,22,1.6
2009,"20113",561,21.9,23,2.8
2009,"38031",371,18.4,49,4.1
2009,"27017",626,29,39,3.1
2009,"19139",596,26.4,40,2.6
2009,"51137",869,27.2,46,2.1
2009,"26155",617,32.6,14,1.8
2009,"51735",1066,30,50,3.5
2009,"53067",900,30.1,16,1.1
2009,"37025",727,26.9,17,1.7
2009,"48381",691,29.8,24,1.7
2009,"51069",1027,28.2,48,2.2
2009,"13149",710,24,61,3.2
2009,"04001",507,19.2,34,1.8
2009,"17151",374,31,53,12
2009,"25017",1191,28.7,10,0.3
2009,"24033",1109,29.1,7,0.4
2009,"46083",706,25.3,49,2
2009,"37011",638,31.1,36,2.7
2009,"45087",520,28.1,33,2.1
2009,"20049",355,24.1,66,3.9
2009,"40069",444,26.7,146,5.7
2009,"51009",567,23.1,30,3.8
2009,"01077",528,31.6,20,2.8
2009,"19025",422,23.6,13,2.5
2009,"38093",500,24.3,34,2.6
2009,"50005",604,27.7,20,2
2009,"31093",558,19.7,31,2.6
2009,"54065",683,28.5,39,5.8
2009,"20133",460,23.3,35,3.6
2009,"32033",671,22.5,64,5.6
2009,"38071",440,22.7,18,2
2009,"53057",862,29.8,21,1.1
2009,"37125",642,27.8,31,3
2009,"18007",595,24.4,72,1.6
2009,"29186",565,27.5,58,4.5
2009,"24047",816,29.7,39,2
2009,"55081",601,24.5,26,1.2
2009,"17039",534,23.7,63,4.2
2009,"13045",734,32.1,13,2
2009,"20063",469,17.8,21,1.9
2009,"31121",520,20.4,87,2.7
2009,"17079",424,27,49,10
2009,"51067",575,22.5,29,2.3
2009,"48265",718,27.9,38,2.5
2009,"17191",487,27,28,3.2
2009,"47003",591,28,32,1.8
2009,"19117",460,26.7,45,3.3
2009,"37099",592,30.3,60,5.6
2009,"46075",457,16.3,132,8.8
2009,"16087",530,28.6,58,4.1
2009,"21187",570,27.8,27,5.4
2009,"05117",384,28.3,40,3.9
2009,"27131",722,26.4,27,1.6
2009,"19149",527,20.8,29,2.8
2009,"20045",756,35.7,19,1.6
2009,"32007",709,23.1,32,1.6
2009,"51165",712,24.1,26,1.7
2009,"55063",639,27.6,18,1.4
2009,"42103",906,33.5,67,4.6
2009,"02130",868,28.5,108,2.4
2009,"55065",537,24.4,28,2.2
2009,"26067",604,32.3,37,2.2
2009,"55043",543,28,24,1.8
2009,"39085",759,28.8,15,1.1
